CANTOR;CÓD.;TÍTULO;INÍCIO DA LETRA;P;;
Raça Negra;3046;CHEIA DE MANIAS;Cheia de manias toda dengosa;1F;;
Raça Negra;3537;PRECISO TER ALGUÉM;De novo a solidão bateu, eu vou chorar;1G;;
Raça Negra;3146;ME LEVA JUNTO COM VOCÊ;No mel do seu beijo tem o gosto do amor;1H;;
Raça Negra;3196;OI (ESTOU TE AMANDO);É legal demais ter você pra mim;1J;;
Raça Negra;3258;SÓ COM VOCÊ;Eu não quero mais fazer amor a toa;1J;;
Raça Negra;3212;PENSANDO EM VOCÊ;Sempre que estou sozinho fico pensando ;1K;;
Raça Negra;15082;BONITA PAIXÃO (ANJO BOM);Depois que encontrei você minha vida iluminou;23C;;
Raça Negra;15425;QUANDO TE ENCONTREI;Quando te encontrei te juro não pensei;25C;;
Raça Negra;15865;RAIVA DE VOCÊ;Você sabe que eu te amo e abusa de mim;28B;;
Raça Negra;3634;PRECISO DESSE AMOR;À noite no meu quarto, solidão;2A;;
Raça Negra;4052;SERÁ;Tire suas mãos de mim;3C;;
Raça Negra;4246;PERDI VOCÊ;Hoje me lembro com tristeza;3H;;
Raça Negra;4310;DEUS ME LIVRE;Te amo mas não quero...;4B;;
Raça Negra;6160;VOCÊ NÃO SABE DE MIM;Quem é você...;5B;;
Raça Negra;6234;PROBLEMA MEU;Se eu quiser chorar problema meu...;5D;;
Raça Negra;6900;CHUVA CAI;Chuva cai lá fora...;8B;;
Raça Negra;7226;PRECISO DAR UM TEMPO;Estou precisando de um tempo pra pens;9D;;
Raça Negra;3049;CIÚME DE VOCÊ;Se você demora mais um pouco;M;;
Raça Negra;3083;ESTOU MAL;Eu pensei que fosse fácil te esquecer;M;;
Raça Negra;3461;CAROLINE;você veio pra me fazer feliz;M;;
Raça Negra;3463;CIGANA;Não deixe o tempo acabar com o nosso;M;;
Raça Negra;3482;O QUE EU FAÇO SEM VOCÊ;O que eu faço sem você;M;;
Raça Negra;3491;SEU AMOR JÁ TERMINOU;Seu amor já terminou você já nem;M;;
Raça Negra;3494;SOZINHO;Todo aquele sonho que sonhei;M;;
Raça Negra;3495;TE QUERO COMIGO;Não dá pra ficar sem você;M;;
Raça Negra E Reginaldo Rossi;6491;DEIXA DE BANCA;Parabadá... Deixa de banca comigo…;6C;;
Rádio Táxi;7435;SANDUÍCHE DE CORAÇÃO;Vou modificar meu modo de vida;10D;;
Rádio Táxi;7729;VOCÊ SE ESCONDE;Quando me toco estou sozinho;11B;;
Rádio Táxi;9563;VIVENDO ILUSÃO;Quero estar contigo vivendo ilusão;13B;;
Rádio Táxi;3425;EVA;Meu amor, olha só hoje o sol não;1J;;
Rádio Táxi;3956;GAROTA DOURADA;Navegando no teu mar flutuando no;3A;;
Rádio Táxi;3980;UM AMOR DE VERÃO;Um amor de verão tem um sol;3A;;
Rádio Táxi;7093;COM O RÁDIO LIGADO;Quando você me olha com esse olhar mo;9A;;
Radiohead;19093;CREEP;When you were here before;INT05C;;
Radiohead;19096;FAKE PLASTIC TREES;A green plastic watering can;INT05C;;
Rael;16128;ENVOLVIDÃO;Ela tem cores curvas sabores;30A;;
Rafa e Pipo Marques - Wesley Safadão;16156;TÔ DE BOAÇA;Eu tô de boa tô de boaça;30A;;
Raimundos;15384;ME LAMBE;O quê o que que essa criança tá fazendo;25B;;
Raimundos;15703;MAS VÓ;Apesar de tanto tempo pra encontrar a paz;27B;;
Raimundos;3879;I SAW YOU SAYING;Reconheci a Madonna ali parada;2G;;
Raimundos;4283;MULHER DE FASES;Que mulher ruim jogou minhas coisas...;4A;;
Raimundos;4342;A MAIS PEDIDA;Nesse show não entra menor...;4C;;
Raimundos;6112;REGGAE DO MANERO;Se eu uso a manga da camisa que...;5A;;
Raiz Coral;7880;TOCOU-ME;Algemado por um peso oh quão triste a;EVB;;
Ramones;2502;BLITZKRIEG BOP;Hey ho let's go hey ho let's go;INT04A;;
Ramones;2520;PET SEMATARY;Under the arc of a weather stain boards;INT04A;;
Ramones;19286;DO YOU REMEMBER ROCK 'N' ROLL RADIO;Rock'n rock 'n' roll radio let's go;INT06D;;
Ramones;19511;POISON HEART;No one ever thought this one would survive;INT08A;;
Ramones;19473;SHEENA IS A PUNK ROCKER;Well the kids are all hopped up;INT7D;;
Ramones ;19383;I WANNA BE SEDATED;Twenty twenty twenty four hours to go;INT07B;;
Rapazolla;7710;TÔ CARENTE E ARROCHA;Quando você me deixou a minha vida de;11A;;
Rapazolla;7556;AQUI É O SEU LUGAR;Não dá pra entender o meu coração;11C;;
Rapazolla;9520;QUAL É;Te quero na minha toda hora;13A;;
Rapazolla;9544;TE ESPERO NO FAROL;Sei que um dia vai lembrar;13B;;
Rapazolla;6849;CORAÇÃO;Iô iô iô... Coração... para quê se;7F;;
Rastapé;6123;COLO DE MENINA;A lua quando brilha falo de amor...;5B;;
Rastapé;6208;BEIJO ROUBADO;Tenho a vontade de abraçar a noite...;5D;;
Rastapé;6286;AMOR DE RASTAPÉ;Eu tenho um sonho de criança amor…;5F;;
Raul Gil;15254;LONAS AZUIS;No caminho da sorte a alma perdi;24C;;
Raul Sampaio;15188;QUEM EU QUERO NÃO ME QUER;Quem eu quero não me quer quem me quer;24A;;
Raul Seixas;7385;MEU AMIGO PEDRO;Muitas vezes Pedro você fala;10C;;
Raul Seixas;7357;EU TAMBÉM VOU RECLAMAR;Mas é que se agora pra fazer sucesso;10E;;
Raul Seixas;7682;QUANDO ACABAR O MALUCO SOU EU;A Wop-bop-a-loo-mop a-lop-bam-boom;11D;;
Raul Seixas;1676;LET ME SING, LET ME SING;U-ah bap-luba p-lah bein bum;19A;;
Raul Seixas;3327;GITA;Eu que já andei pelo quatro cantos ;1A;;
Raul Seixas;3133;MALUCO BELEZA;Enquanto você se esforça pra ser;1C;;
Raul Seixas;3147;MEDO DA CHUVA;È pena que você pense que eu sou;1G;;
Raul Seixas;1841;A VERDADE SOBRE A NOSTALGIA;Tudo quanto é velho eles botam pra eu;20B;;
Raul Seixas;1844;AVE MARIA DA RUA;No lixo dos quintais;20B;;
Raul Seixas;1858;MAS I LOVE YOU;O que é que cê quer que eu largue ;20B;;
Raul Seixas;1875;ROCK DO DIABO;Me dê um porco vivo pra eu encher a m;20B;;
Raul Seixas;1879;TU ÉS O MDC DA MINHA VIDA;Tu és o grande amor da minha vida;20B;;
Raul Seixas;1899;O DIA EM QUE A TERRA PAROU;Essa noite eu tive um sonho ;20C;;
Raul Seixas;1901;BABILINA;Babilina Babilina saia do bordel;20C;;
Raul Seixas;1915;NÃO PARE NA PISTA;Não pare na pista;20C;;
Raul Seixas;1928;OURO DE TOLO;Eu devia estar contente;20D;;
Raul Seixas;1946;MOSCA NA SOPA;Eu sou a mosca que pousou em sua sopa;20D;;
Raul Seixas;1947;POR QUEM OS SINOS DOBRAM;Nunca se vence uma guerra lutando sozinho;20D;;
Raul Seixas;1952;SÓ PRA VARIAR;Tem que acontecer alguma coisa neném;20D;;
Raul Seixas;1989;BABY;Baby hoje cê faz treze anos;21A;;
Raul Seixas;2662;ABRE-TE SÉSAMO;Lá vou eu de novo um tanto assustado;21B;;
Raul Seixas;2670;EU SOU EGOÍSTA;Se você acha que tem pouca sorte;21B;;
Raul Seixas;2672;FAZENDO O QUE O DIABO GOSTA;Casamos no motel bem longe do altar;21B;;
Raul Seixas;2683;CHECK-UP;Acabei de dar um check-up geral;21B;;
Raul Seixas;2690;HOW COULD I KNOW;Reformulation rearrange the game you're;21B;;
Raul Seixas;2729;NÃO QUERO MAIS ANDAR NA CONTRAMÃO;Hoje uma amiga da Colômbia voltou;21C;;
Raul Seixas;2732;NO FUNDO DO QUINTAL DA ESCOLA;Não sei onde eu tô indo;21C;;
Raul Seixas;2744;NOVO AEON;O sol da noite agora está nascendo;21D;;
Raul Seixas;2749;OS NÚMEROS;Meus amigos essa noite eu tive uma;21D;;
Raul Seixas;2764;PEIXUXA O AMIGUINHO DOS PEIXES;Entra pelas portas do fundo;21D;;
Raul Seixas;2766;ROCKIXE;Vê se me entende olha o meu sapato;21D;;
Raul Seixas;2767;S.O.S.;Hoje é domingo missa e praia céu;21D;;
Raul Seixas;2756;SAPATO 36;Eu calço é trinta e sete meu pai me dá;21D;;
Raul Seixas;15019;TAPANACARA;Urucubaca mandinga ataca mexe e me;23A;;
Raul Seixas;16083;A HORA DO TREM PASSAR;Você tão calada e eu com medo de falar;29D;;
Raul Seixas;3652;CAPIM GUINÉ;Plantei um sítio no sertão de Piritiba;2B;;
Raul Seixas;3687;TREM DAS 7;Ói, ói o trem;2B;;
Raul Seixas;3760;METAMORFOSE AMBULANTE;Eu prefiro ser essa metamorfose;2D;;
Raul Seixas;3897;ROCK DAS ARANHAS;Subi no muro do quintal e vi uma;2G;;
Raul Seixas;4029;COWBOY FORA DA LEI;Mamãe não quero ser prefeito;3C;;
Raul Seixas;4070;COMO VOVÓ JÁ DIZIA;Quem não tem colírio usa óculos ;3D;;
Raul Seixas;6033;TENTE OUTRA VEZ;Veja não diga que a canção está...;4G;;
Raul Seixas;6161;A MAÇÃ;Se esse amor ficar entre nós dois…;5C;;
Raul Seixas;6512;SOCIEDADE ALTERNATIVA;Viva viva viva a Sociedade Alterna…;6C;;
Raul Seixas;6762;AL CAPONE;Ei, Al Capone vê se te emenda...;7D;;
Raul Seixas;1041;CARIMBADOR MALUCO;Cinco quatro três dois pare esp;INF1B;;
Raul Seixas;3089;EU NASCI HÁ DEZ MIL ANOS ATRÁS;Um dia numa rua da cidade;M;;
Raul Seixas - Marcelo Nova;16144;PASTOR JOÃO E A IGREJA INVISÍVEL;Eu não sei se o céu ou inferno;30A;;
Ray Charles;4824;GEORGIA ON MY MIND;Georgia Georgia the whole day through…;INT01, A41;;
Ray Charles;4519;I CAN'T STOP LOVING YOU;Those happy hours that we once knew;USAA;;
Ray Charles;4554;UNCHAIN MY HEART;Unchain my heart;USAC;;
Ray Parker Jr.;19576;GHOSTBUSTERS;Ghostbusters if there's something strange;INT08C;;
Raymond Matsuya;18322;AKINADA NO KAZE;Aoku yawaraka na kono umi wa;JP6D;;
Raymond Matsuya;18329;HIUCHI NADA;Koharu biyori no mahbushih umi kara;JP6D;;
Raymond Matsuya;18340;KURUSHIMA KAIKYOH;Kagami no setouchi haruka na shima;JP6D;;
Raymond Matsuya;18390;SHINRA BANSHOH;Yama fukaku mi o kiyome asagiri ni;JP7A;;
Rayssa e Ravel;2985;NASCER DE NOVO;Minha vida foi uma procura com a alma;EVAN04D;;
Razão Brasileira;3715;NATURALMENTE;Entre nós dois talvez possa acontecer;2C;;
Razão Brasileira;3088;EU MENTI;Eu menti quando disse que não te queria;M;;
Reba McEntire;5904;FOR MY BROKEN HEART;There were no angry words at all;INT03, USA3C;;
Rebelde;7395;NOSSO AMOR;Foi tão mágico o jeito que tomou;10C;;
Rebelde;7594;ENSINA-ME;Como dói perceber;11D;;
Rebelde;7143;FIQUE EM SILÊNCIO;Te encontro sem pressa dizendo o que;9D;;
Rebeldes;2753;REBELDE PARA SEMPRE;Só quero o que é meu ir mais além;21D;;
Rebeldes;2927;QUANDO ESTOU DO SEU LADO;E de repente o destino leva;22D;;
Red Hot Chili Peppers;4952;OTHERSIDE;How long, how long will I slide? ...;INT01, USA2B;;
Red Hot Chili Peppers;4962;SCAR TISSUE;Scar tissue that I wish you saw...;INT01,USA2C;;
Red Hot Chili Peppers;4986;UNDER THE BRIDGE;Sometimes I feel like I don't have a par...;INT01,USA2C;;
Red Hot Chili Peppers;19645;BY THE WAY;Standing in line to see the show tonight;INT09A;;
Red Hot Chilli Peppers;4816;CALIFORNICATION;Psychic spies from China…;INT01, A41;;
Reginaldo Rossi;7408;PEDAÇO DE MAU CAMINHO;Antigamente eu era triste e não sabi;10D;;
Reginaldo Rossi;2838;O DIA DO CORNO;Ninguém nem homem nem mulher poderá;22B;;
Reginaldo Rossi;15682;AMOR AMOR AMOR;Ah que bom se eu encontrasse alguém que;27B;;
Reginaldo Rossi;16075;SE MEU AMOR NÃO CHEGAR;Eu hoje quebro essa mesa;29C;;
Reginaldo Rossi;16180;ERA DOMINGO;Essa história se passou quendo eu deixei;30B;;
Reginaldo Rossi;4114;GARÇOM;Garçom, aqui nesta mesa de bar;3EMP;;
Reginaldo Rossi;4164;MON AMOUR, MEU BEM, MA FEMME;Nesse corpo meigo e tão pequeno;3F;;
Reginaldo Rossi;4234;EU DEVIA TE ODIAR;Eu devia te odiar;3H;;
Reginaldo Rossi;4262;A RAPOSA E AS UVAS;Lembro com muita saudade daquele ...;4A;;
Reginaldo Rossi;4480;LEVIANA;Eu te amei me entreguei...;4F;;
Reginaldo Rossi;6128;DOMÍNIO DO CORAÇÃO;Se eu tivesse o domínio do meu...;5B;;
Reginaldo Rossi;7258;TÔ DOIDÃO;Eu conheci um cara;9E;;
Reginho e Banda Surpresa;1679;MINHA MULHER NÃO DEIXA NÃO;Ei tu quer beber quero não;19A;;
Regis Danese;1131;FAZ UM MILAGRE EM MIM;Como Zaqueu eu quero subir;15C;;
Regis Danese;1773;MEU DEUS É FORTE;Entreguei a minha vida pra Jesus ;19D;;
Regis Danese;2723;FAMÍLIA;Te agradeço pela minha família;21C;;
Regis Danese;2754;RESSUSCITA O MEU SONHO;Ressuscita os meus sonhos Senhor;21D;;
Regis Danese;2950;COMPROMISSO;Eu sei que se eu te obedecer e se Tua;EVAN04C;;
Regis Danese;2959;TE ADORAR;Senhor eu sei que eu preciso;EVAN04C;;
Regis Danese;2966;ALIANÇA;Hoje eu vou fazer uma aliança com ;EVAN04D;;
Reinaldo;6206;ATÉ DE MANHÃ;Firma na palma da mão...;5D;;
REM;4934;LOSING MY RELIGION;Oh, life is bigger...;INT01, USA2A;;
Remioromen;2178;KONAYUKI;Konayuki mau kisetsu wa itsumo sure;JP4E;;
Remioromen;18433;SANGATSU KOKONOKA;Nagareru kisetsu no mannaka de futo hi;JP7B;;
RENASCER IV;5612;GRANDES COISAS;Grandes coisas fez o Senhor por...;EVA;;
RENASCER IV;5620;MAIS QUE VENCEDOR;Jesus em Tua fidelidade eu me...;EVA;;
RENASCER IV;5641;YESHUA HAMASHIA;Na cidaed de Davi no monte Sião...;EVA;;
Renascer Praise;2991;PROMESSA;Parece mesmo que este dia nunca;EVAN04D;;
Renascer Praise;7738;ADORADOR;Declarar o meu amor a Ti;EVD;;
Renascer Praise;7787;GRAÇAS TE DAMOS;Por tudo que és por tudo que tens feit;EVD;;
Renascer Prise;5511;BOM ESTARMOS AQUI;Bom estarmos aqui louvando a Deus;EVAN101;;
Renascer Prise;5513;BUSCAR-ME-EIS;Buscar-me-eis e me achareis;EVAN101;;
Renascer Prise;5518;CRISTO VENCEDOR;Vem engrandecer a Deus comigo;EVAN101;;
Renascer Prise;5521;DESEJAMOS;Desejamos a tua presença Senhor;EVAN101;;
Renascer Prise;5522;DEUS DO IMPOSSÍVEL;Seu nome é Deus do impossível;EVAN101;;
Renascer Prise;5525;DIGNO DE LOUVOR;Digno de louvor é o Senhor dos exérci;EVAN101;;
Renascer Prise;5528;ENTRAMOS NESTE LUGAR;Entramos neste lugar;EVAN101;;
Renascer Prise;5531;EU SEI QUE ESTÁS COMIGO;Eu sei que estás comigo, Senhor;EVAN101;;
Renascer Prise;5579;RENDEMOS GLÓRIA;Viemos aqui, neste lugar nos unimos;EVAN101;;
Renascer Prise;5583;SE NÃO FORA O SENHOR;Se não fora o Senhor se não fora o Se;EVAN101;;
RENASCER V;5619;MAIS DE TI;Oh Santo Deus posso comtemplar...;EVA;;
RENASCER V;5632;PLANO MELHOR;É só esperar acontecer...;EVA;;
RENASCER V;5640;VOZ DO ESPÍRITO;Espírito eu amo a Tua voz...;EVA;;
Renato e seus Blue Caps;1601;A PRIMEIRA LÁGRIMA;A primeira lágrima;18D;;
Renato e seus Blue Caps;1602;ATÉ O FIM;Você vai crescer e então verá;18D;;
Renato e Seus Blue Caps;2667;ESQUEÇA E PERDOE;Se um dia eu disse cansei de você;21B;;
Renato e seus Blue Caps;2725;MEU BEM NÃO ME QUER;Briguei só pra ver se ela;21C;;
Renato e seus Blue Caps;2717;NÃO ME DIGA ADEUS;Não me diga adeus agora meu bem;21C;;
Renato e Seus Blue Caps;15420;NÃO QUERO VER VOCÊ CHORAR;Lá lá... Eu não quero ver você chorar;25C;;
Renato e Seus Blue Caps;15500;PLAYBOY;Playboy playboy não sei se você é feliz ;26A;;
Renato e Seus Blue Caps;15557;SIM, SOU FELIZ;Sim sou feliz porque aprendi a chorar;26B;;
Renato e Seus Blue Caps;15615;NO DIA EM QUE JESUS VOLTAR;No dia em que Jesus voltar e a terra se;26D;;
Renato E Seus Blue Caps;3922;MENINA LINDA;Ah! Deixa essa boneca faça-me;2H;;
Renato e Seus Blue Caps;16273;MEU PRIMEIRO AMOR;O meu primeiro amor;30D;;
Renato E Seus Blue Caps;4125;NÃO TE ESQUECEREI;Não te esquecerei meu eterno amor;3E;;
Renato E Seus Blue Caps;6211;FECHE OS OLHOS;Feche os olhos e sinta um beijinho...;5D;;
Renato E Seus Blue Caps;7224;PRA VOCÊ NÃO SOU NINGUÉM;Eu não quero mais você perto de mim;9B;;
Renato Guimarães;7415;POEMA;Poema... é noite escura de amargura;10E;;
Renato Luciano - Ney Matogrosso;16263;DE TODA COR;Passarinho de toda cor gente de toda cor;30D;;
Renato Russo;3639;STRANI AMORI;Mi dispiace devo andare via;2A;;
Renato Russo;4040;LA FORZA DELLA VITA;Anche quando ci buttiamo via;3C;;
Renato Russo;6539;MAIS UMA VEZ;Mas é claro que o sol vai voltar…;6D;;
Renato Teixeira;7924;CAVALO BRAVO;Olhando um cavalo bravo no seu livre;12E;;
Renato Teixeira;9390;AMORA;Depois da curva da estrada;13A;;
Renato Teixeira;1201;A VIOLA E O CANTADOR;La la la la;16B;;
Renato Teixeira;1461;MORENINHA, SE EU TE PEDISSE;Moreninha se eu te pedisse;17D;;
Renato Teixeira;1876;SAUDADE;Se queres compreender o que é saudade;20B;;
Renato Teixeira;16201;AMANHECEU, PEGUEI A VIOLA;Amanheceu peguei a viola;30C;;
Renato Terra;7571;COISA DE MOMENTO;Falar a verdade me faz tão bem;11C;;
RESGATE;5618;LIBERDADE;Uma gota seca na minha mente...;EVA;;
Resgate;5501;5:50 AM;Abro os olhos sob o mesmo teto;EVAN101;;
Resgate;5503;A PAZ;A mente imagina o paraíso;EVAN101;;
Resgate;5505;ABRIR OS OLHOS;Corre todo dia, toda hora;EVAN101;;
Resgate;5506;ACUSADOR;Eu conheço as tuas mentiras;EVAN101;;
Resgate;5516;CONTROLE;Ele está no meio do seu povo;EVAN101;;
Resgate;5519;DANIEL;Os manjares do rei o contágio fatal;EVAN101;;
Resgate;5535;FLORZINHA;Eu sou uma florzinha de Jesus;EVAN101;;
Resgate;5536;FOGO;Janeiro, fevereiro, março, abril;EVAN101;;
Resgate;5545;LEVE FARDO;O duro jugo, pesado fardo eu levei;EVAN101;;
Resgate;5555;MISTÉRIO;Andava como um político em cima do;EVAN101;;
Resgate;5560;PAPO DE LÓKI;A gente tá mal;EVAN101;;
Resgate;5561;PARALELO;Morte, morte;EVAN101;;
Resgate;5565;PRÍNCIPE;Um menino nos nasceu um Filho se nos;EVAN101;;
Resgate;5568;QUEM É ELE;Quem é Ele?;EVAN101;;
Resgate;5581;ROCK DA VOVÓ;Nas viagens que eu fazia nunca me pre;EVAN101;;
Resgate;5585;SOBRE A ROCHA;Disse o tolo em seu coração;EVAN101;;
Resgate;5586;SOLIDÃO;A solidão e uma rachadura;EVAN101;;
Resgate;5588;TEMPO;Tudo tem seu tempo determinado;EVAN101;;
Resgate;5596;VIDA;Tantos morrem de fome em frente o aço;EVAN101;;
Restart;1510;RECOMEÇAR;E eu sei;18A;;
Restart;1593;LEVO COMIGO;Eu quis escrever uma canção;18C;;
Restart;2780;VOU CANTAR;Sei que os dias passaram;21D;;
Restart;2892;MENINA ESTRANHA;Eu conheci uma menina diferente;22C;;
Restart;2921;MINHA ESTRELA;Alguma coisa aconteceu;22D;;
Restart;15246;CARA DE SANTA;Ela me ligou disse tô nem aí ;24C;;
Restart;15956;RENASCER;Dessa vez tô escrevendo só pra poder entender;28D;;
Revelação;6418;GRADES DO CORAÇÃO;Quando eu te vi pela primeira vez…;6A;;
Revelação;6796;TALVEZ;Eu quis um dia te dar...;7D;;
Ricardo & Eduardo;1542;BEIJO, ME LIGA;Beijo me liga e a gente fica;18B;;
Ricardo Braga;6397;UMA ESTRELA VAI BRILHAR;Uma estrela vai brilhar no meu caminho…;5H;;
Ricardo Chaves;1726;MIL CIDADES;Vai levar um tempo ainda para te esq ;19C;;
Ricardo Chaves;3986;ACABOU;Eu tenho andado meio preocupado;3B;;
Ricardo Chaves;3185;O BICHO;Quando o vento bater nos seus cabelos;M;;
Richard Marx;9161;RIGHT HERE WAITING;Oceans apart day after day…;INT02, 8E;;
Richard Marx;4747;NOW AND FOREVER;Whenever I’m weary...;USAA;;
Richie Valens;4704;DONNA;Oh Donna Oh Donna...;USAD;;
Rick Astley;9019;CRY FOR HELP;She's taken my time convinced me she's f;INT01, A42;;
Rick Astley;9142;NEVER GONNA GIVE YOU UP;We're no strangers to love…;INT02, 8F;;
Rick E Rener;1735;ESCOLTA DE VAGALUMES;Voltando pra minha terra eu renasci ;19C;;
Rick E Rener;6820;EU MEREÇO;Foi só uma noite e nada mais;7E;;
Rick E Rener;6952;NÓIS TROPICA MAIS NÃO CAI;Nóis tropica mais não cai…;8C;;
Rick e Rener - Rionegro e Solimões;15708;O BOTECO ENVENENOU;E o boteco envenenou boteco envenenou agora;27B;;
Rick E Renner;7608;FILHA;Hoje eu parei pra escrever;11C;;
Rick e Renner;9370;VOU GANHAR VOCÊ;Quando você chega ilumina tudo;12A;;
Rick e Renner;7933;CREDENCIAL;Vou fazer de tudo pra te esquecer;12E;;
Rick e Renner;9421;COISA DE DEUS;Linda bem mais que linda;13D;;
Rick e Renner;9402;BERRANDO QUE NEM BOI;Oh meu Deus do céu pra onde é que ela;13E;;
Rick e Renner;9685;HOMEM CARENTE;Tô precisando tanto de um olhar assim;14A;;
Rick e Renner;9850;NEGATIVO, POSITIVO;Às vezes quero que você se dane;14A;;
Rick e Renner;9860;PASSE O TEMPO QUE PASSAR;Tudo que ficou depois que a gente ter;14A;;
Rick e Renner;9853;NOSSA SENHORA APARECIDA;Ó Senhora Aparecida rainha da minha;14D;;
Rick e Renner;9889;TE AMO, PAI;Pai senta aqui comigo que eu quero ol;14E;;
Rick e Renner;1232;RIACHO SERENO;O riacho é sereno o caminho é tranq;16B;;
Rick e Renner;1453;FAZ AMOR QUE PASSA;Estressado não tem graça;17D;;
Rick e Renner;1458;MÃE;Mãe hoje eu descobri que eu cresci;17D;;
Rick e Renner;15850;MIL VEZES CANTAREI;Toda vez que eu penso em você dói lembrar;28B;;
Rick e Renner;15989;MAIS QUE PAI E FILHO;Pai estou aqui pra dizer que valeu;29A;;
Rick E Renner;4076;ELA É DEMAIS;Ela tem um jeito lindo de me olhar;3D;;
Rick E Renner;4233;ENROSCA, ENROSCA;Se enrosca meu amor se enrosca;3H;;
Rick E Renner;4244;O QUE É QUE ELA TEM!...;Já sofri por ela já bebi por ela;3H;;
Rick E Renner;4266;CARA DE PAU;Eu não tenho vergonha na cara...;4A;;
Rick E Renner;4362;MULEKA;Gruda gruda na cintura da muleka...;4C;;
Rick E Renner;4395;FIM DE SEMANA;Do jeito que você me olha você me...;4D;;
Rick E Renner;4460;VEM ME NAMORAR;Você revolucionou a minha vida...;4E;;
Rick E Renner;6027;PRA FICAR DEZ;É pra remexer pra requebrar...;4G;;
Rick E Renner;6115;SEGUIR EM FRENTE;Vou seguir em frente vou tentar...;5A;;
Rick E Renner;6263;O AMOR E EU;O amor e eu somos mesmo parecidos…;5E;;
Rick E Renner;6299;MINHA LUZ;Deus eu quero estar sempre contigo…;5F;;
Rick E Renner;6368;É DEZ, É CEM, É MIL;Você me parte de desejo…;5H;;
Rick E Renner;6510;SÓ PENSANDO EM VOCÊ;Recordações não param…;6C;;
Rick E Renner;6571;EU SEM VOCÊ;Meus dias sem te ver são difíceis…;6E;;
Rick E Renner;6738;NOS BARES DA CIDADE;Garçom me traga outra garrafa...;7C;;
Rick E Renner;6846;BEBEDEIRA;Tô chegando no rodeio procurando;7F;;
Rick E Renner;7109;DOIDINHO POR VOCÊ;Não precisa perguntar é só olhar você;9B;;
Rick E Renner;7254;TCHAU SAUDADE;Mesmo com outra pessoa eu me sinto tã;9B;;
Rick E Renner;7275;VOCÊ DECIDE;Se o seu coração está perdido;9B;;
Rick E Renner;7189;NÃO QUERO, MAS EU TE AMO;Coração apaixonado não tem quem segu;9D;;
Rick James - Smokey Robinson;19331;EBONY EYES;Oh ooh ooh ooh... Wind in your hair sun on your;INT07A;;
Rick Martin;3574;MARIA;Un, dos, tres;1E;;
Rick Martin;3958;LA COPA DE LA VIDA;La vida es pura pasion hay que;3A;;
Rick Sollo;1943;DE VOLTA PRO MEU CORAÇÃO;Olha o sol chegando e você indo embora;20D;;
Rick Vallen;7945;DIZEM QUE EU MUDEI;Dizem que eu mudei que eu não era assim;12C;;
Rick Vallen;1339;PRA SER AMOR;Pra ser amor;17A;;
Ricky Martin;4833;LIVIN' LA VIDA LOCA;She's into superstition…;INT01, A41;;
Ricky Martin;19474;SHE'S ALL I EVER HAD;Here I am broken wings;INT7D;;
Ricky Martin with Meja;4955;PRIVATE EMOTION (WITH MEJA);Every endless night has a dawning day...;INT01, USA2A;;
Right Said Fred;19581;I'M TOO SEXY;I'm too sexy for my love;INT08C;;
Righteous Brothers;4553;UNCHAINED MELODY;Oh my love my darling;USAG;;
Rihanna;2633;UNFAITHFUL;Story of my life searching for the right;INT04D;;
Rihanna;19026;WE FOUND LOVE;Yellow diamonds in the light And we're standing side;INT05A;;
Rihanna;19030;YOU DA ONE;You the one that I dream about all day;INT05A;;
Rihanna;19045;CALIFORNIA KING BED;Chest to chest nose to nose palm to palm;INT05B;;
Rihanna;19065;ONLY GIRL (IN THE WORLD);La la la... I want you to love me like I'm a hot pie;INT05B;;
Rihanna;19170;DIAMONDS;Shine bright like a diamond;INT06A;;
Rihanna;19310;TAKE A BOW;Oooh how about a round of applause;INT06D;;
Rihanna;19319;WHERE HAVE YOU BEEN;I've been everywhere man looking for someone;INT06D;;
Rihanna;19517;TE AMO;Te amo te amo she says to me;INT08A;;
Rihanna;19611;DON'T STOP THE MUSIC;Please don't stop the music music music;INT08D;;
Rihanna;19661;LOVE ON THE BRAIN;And you got me like oh what you want from me;INT09A;;
Rihanna - Jay Z;19637;UMBRELLA;You have my heart ;INT08D;;
Rihanna - Mikky Ekko;19270;STAY;All along it was a fever a cold sweat hot-headed;INT06C;;
Rihanna - Ne-Yo;19251;HATE THAT I LOVE YOU;That's how much I love you that's how much I need;INT06C;;
Rinaldo E Liriel;6371;EU NUNCA MAIS VOU TE ESQUECER;Se eu tivesse o coração que…;5H;;
Rinken Band;5330;ARIGATOU;Ari ari arigatou ari ari arigatou…;JP2;;
Rio Negro E Solimões;6888;AJEITE O TREM AÍ;Ajeite o trem aí que o chão vai…;8C;;
Rionegro E Solimões;7640;MINHA SERENATA;Nesta rua deserta e calma;11A;;
Rionegro E Solimões;7711;TÔ MAL;Se quer saber como estou;11C;;
Rionegro e Solimões;9303;O GRITO DA GALERA;Eu toquei o meu berrante pra chamar a;12C;;
Rionegro e Solimões;9362;VIDA DE CÃO;Já faz tanto tempo que tudo acabou;12E;;
Rionegro e Solimões;9460;FLORESCE;Um jeito meigo de olhar um modo simpl;13A;;
Rionegro e Solimões;9882;SÓ EU SEI;Se é pra valer ou não;14C;;
Rionegro e Solimões;9899;TRAZ MAIS UMA;Traz mais uma aê que aquela já acabo;14E;;
